id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1399762096972128259,Tue Jun 01 16:17:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Iwankristanto15 @yaniarsim @jokowi lu kan alergi sama gambar itu otak cebong dungu sudah rusak fakta di bilang fitnah lu jadi orang bodoh gara2 belahin jokowi https://t.co/Hk3gqeRFsv,kan alergi gambar otak cebong dungu rusak fakta bilang fitnah bodoh gara belahin jokowi,in,0,0,JhonaMerah,False,,"Iwankristanto15, yaniarsim, jokowi",,
1399756772257107969,Tue Jun 01 15:56:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Iwankristanto15 @yaniarsim @jokowi kasihan lu cebong dungu manisia tolol buat apa pemimpin gagal lu belah belahin,kasihan cebong dungu manisia tolol pemimpin gagal belah belahin,in,0,0,JhonaMerah,,,"Iwankristanto15, yaniarsim, jokowi",,
1399756444241563657,Tue Jun 01 15:55:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Cinta0803 @fnndtrhc @yaniarsim @jokowi cebong dungu memang gk punya otak gk.punya malu pemimpin gagal di.puja.puji,cebong dungu memang gk otak gk malu pemimpin gagal puja puji,in,0,0,JhonaMerah,,,"Cinta0803, fnndtrhc, yaniarsim, jokowi",,
1399756443004260355,Tue Jun 01 15:55:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@YanHarahap Yang percaya ma Jokowi 
Cuma cebong dungu https://t.co/5pl6NIIN2C",percaya ma jokowi cebong dungu,in,0,0,Juni283,False,,YanHarahap,"Kabupaten Bogor Timur, Jabar",
1399748900341223424,Tue Jun 01 15:25:18 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jokowi Radikal radikul 
Ekonomi meroket 
Buzzer di pelihara
Rakyat sengsara 
Covid berkuasa 
Nikmat tuhan mana lagi yamg kau dustakan wahai netizen +62",radikal radikul ekonomi meroket buzzer pelihararakyat sengsara covid berkuasa nikmat tuhan yamg dustakan netizen,in,0,0,laknat_cebong,,,jokowi,"Jakarta Pusat, DKI Jakarta",
1399748324110921731,Tue Jun 01 15:23:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@faisal_ashary @Trompowsky1 @BukanTanos @StevanusAdityaN @SandiImamFauzi @LangitIndonesi3 @HusinShihab @dakwahnu1926 @P3nj3l4j4h_id @addiems @GunRomli @GagakNeww2 @kokokdirgantoro @noeruzzaman @DivHumas_Polri @CCICPolri @Aryprasetyo85 @eko_kuntadhi dan ini hamas cabang mana bong??? cabang cebong bipang?? atau bukan?? wkwkwk
https://t.co/YCVAJ4faPK",hamas cabang bong cabang cebong bipang bukan wkwkwk,in,0,0,GioFarubi,False,,"faisal_ashary, Trompowsky1, BukanTanos, StevanusAdityaN, SandiImamFauzi, LangitIndonesi3, HusinShihab, dakwahnu1926, P3nj3l4j4h_id, addiems, GunRomli, GagakNeww2, kokokdirgantoro, noeruzzaman, DivHumas_Polri, CCICPolri, Aryprasetyo85, eko_kuntadhi",,
1399743575856877568,Tue Jun 01 15:04:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Iwankristanto15 @yaniarsim @jokowi monyet lu fakta lu bilang fitnah dasar cebong dungu otak lu udh rusak,monyet fakta bilang fitnah dasar cebong dungu otak rusak,in,0,0,JhonaMerah,,,"Iwankristanto15, yaniarsim, jokowi",,
1399743312056119298,Tue Jun 01 15:03:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Sulthan36350528: Londo ireng atau PKI di era kemerdekaan indonesia. Kalau sekarang buzerp ,cebong, kodok budug. Kalau dalam UUD 45 , te…",londo ireng pki era kemerdekaan indonesia buzerp cebong kodok budug dalam uud te,in,0,3,RamadanDahlan,,,Sulthan36350528,,
1399741348698230784,Tue Jun 01 14:55:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@e100ss Hambok cebong-kampret itu juga didamaikan.
Jokowi-Prabowo wae wes damai.",hambok cebong sialan didamaikan jokowi prabowo wae wes damai,in,0,0,nyoemhokgie,,,e100ss,,
1399738108984250368,Tue Jun 01 14:42:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hanya cebong yg percaya Ganjar di dzolimin . emang rakyat Indonesia akan sebodoh cebong semua apa?  kl kalian buta, pura pura ga paham pdip sdg dg play victim untuk Ganjar . itu terserah lu. 
Dungu lu bong https://t.co/c27LsqALYd",cebong percaya ganjar dzolimin rakyat indonesia sebodoh cebong buta pura pura ga paham pdip sdg dg play victim ganjar terserah dungu bong,in,3,0,MysticL111784,False,,,,
